石头ID,长度x,长度y,长度z,长度max,点数,体积
167,0.01836395263671875,0.08744049072265625,0.03908538818359375,0.09286813296283869,22,0.0026265134816719814
168,0.04920005798339844,0.07659149169921875,0.0556488037109375,0.09374010600421201,24,0.0016175069876993762
169,0.09772801399230957,0.0863800048828125,0.10233306884765625,0.15049242203543978,46,0.0010364394215510832
170,0.12471699714660645,0.533111572265625,0.13233184814453125,0.5452737173339584,237,0.021593691683965802
171,0.029129981994628906,0.14939117431640625,0.11095428466796875,0.17202692916914497,55,0.0033572425641011953
172,0.1316969394683838,0.1581573486328125,0.10697174072265625,0.20926740783313313,64,0.004001008678388922
173,0.06657600402832031,0.20473480224609375,0.0998077392578125,0.2181256011800186,79,0.00674465435378532
174,0.15718698501586914,0.2231903076171875,0.1510467529296875,0.2870563003965019,146,0.0065571101455928656
175,0.3533508777618408,0.6275634765625,0.5171051025390625,0.8913893327598255,962,0.1498390330686899
176,0.03389906883239746,0.08289337158203125,0.03850555419921875,0.08328310941867656,13,0.00013511011035221158
177,0.07679891586303711,0.2121124267578125,0.1433868408203125,0.23931636035280113,134,0.015850347968646254
178,0.041036128997802734,0.10113525390625,0.07015228271484375,0.11941311971554347,30,0.000825541870511661
179,0.27921199798583984,0.6084671020507812,0.33892822265625,0.7133995395053354,694,0.033800618919972464
180,0.028167009353637695,0.05301666259765625,0.06993865966796875,0.08300421704703398,18,0.00012695072471482073
181,0.1095120906829834,0.168243408203125,0.1286773681640625,0.2295319387478289,88,0.003695447670303561
182,0.14483308792114258,0.5872344970703125,0.16266632080078125,0.5941461052781332,302,0.02502226905103437
183,0.06427717208862305,0.07868194580078125,0.05194854736328125,0.10971845977021699,23,0.0009094811906625869
184,0.030977249145507812,0.07468414306640625,0.07208251953125,0.09718445953358357,22,1.7445417416815315e-05
185,0.16180706024169922,0.17568206787109375,0.1682586669921875,0.24623222802634537,97,0.014854675382682874
186,0.03305315971374512,0.0716094970703125,0.09014129638671875,0.11339547523761917,35,0.002144038942060407
187,0.13463211059570312,0.140167236328125,0.197967529296875,0.22226582785961124,112,0.00754857173113209
188,0.09695291519165039,0.18616485595703125,0.12914276123046875,0.22569437228304423,80,0.0012529382201044831
